问题ID,问题类型,问题子类型,参与者,运行,摄像机ID,sample_name,action_annotation序号,动作,对象,差异字段,动作标注_start_idx,动作标注_end_idx,动作标注_start,动作标注_end,segmentation_start_idx,segmentation_end_idx,segmentation_start,segmentation_end,segmentation_start减动作标注_帧,segmentation_end减动作标注_帧,segmentation_start减动作标注_毫秒,segmentation_end减动作标注_毫秒,动作标注时长_帧,segmentation时长_帧,manifest缓存帧数,manifest匹配动作标注时长,manifest匹配segmentation时长,动作标注start匹配相机时间戳,动作标注end匹配相机时间戳,segmentation_start匹配相机时间戳,segmentation_end匹配相机时间戳,动作标注start时间实际匹配帧索引,动作标注start索引偏移_帧,动作标注end时间实际匹配帧索引,动作标注end索引偏移_帧,segmentation_start时间实际匹配帧索引,segmentation_start索引偏移_帧,segmentation_end时间实际匹配帧索引,segmentation_end索引偏移_帧,相机时间戳_动作标注start_idx,相机时间戳_动作标注end_idx,相机时间戳_segmentation_start_idx,相机时间戳_segmentation_end_idx,无效时间戳帧索引,无效时间戳文件行号,无效时间戳原值,前一个有效时间戳帧索引,前一个有效时间戳,后一个有效时间戳帧索引,后一个有效时间戳,是否连续尾部无效值,该帧是否晚于最后动作end_idx,该帧是否位于任一动作区间,最后动作end_idx,距最后动作帧数,审计判断,标签生成建议,人工复核状态,动作标注来源文件,动作标注来源行号,segmentation来源文件,segmentation来源行号,相机时间戳来源文件,动作标注start对应时间戳行,动作标注end对应时间戳行,segmentation_start对应时间戳行,segmentation_end对应时间戳行,manifest来源文件,manifest来源行号,审计日期,备注
BD-011,边界差异,end_idx|end,D,run_11,001484412812,sample_000491,10,place,sample,end_idx|end,1716,1743,20260313_111858_674602,20260313_111859_559977,1716,1746,20260313_111858_674602,20260313_111859_656451,0,3,0,96.474,28,31,28,是,否,是,是,是,是,1716,0,1743,0,1716,0,1746,0,20260313_111858_674602,20260313_111859_559977,20260313_111858_674602,20260313_111859_656451,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_11\run_11_annotations.csv,11,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_11\run_11_segmentation_annotation.csv,21,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_11\001484412812\20260313_111756_timestamp.csv,1717,1744,1717,1747,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,491,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-012,边界差异,end_idx|end,D,run_16,001484412812,sample_000565,6,grip,sample,end_idx|end,1125,1176,20260325_101207_791459,20260325_101209_485213,1125,1179,20260325_101207_791459,20260325_101209_583477,0,3,0,98.264,52,55,52,是,否,是,是,是,是,1125,0,1176,0,1125,0,1179,0,20260325_101207_791459,20260325_101209_485213,20260325_101207_791459,20260325_101209_583477,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_16\run_16_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_16\run_16_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_16\001484412812\20260325_101125_timestamp.csv,1126,1177,1126,1180,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,565,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-013,边界差异,end_idx|end,D,run_16,001484412812,sample_000566,7,reverse,sample,end_idx|end,1180,1207,20260325_101209_612403,20260325_101210_527773,1180,1208,20260325_101209_612403,20260325_101210_563679,0,1,0,35.906,28,29,28,是,否,是,是,是,是,1180,0,1207,0,1180,0,1208,0,20260325_101209_612403,20260325_101210_527773,20260325_101209_612403,20260325_101210_563679,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_16\run_16_annotations.csv,8,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_16\run_16_segmentation_annotation.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_16\001484412812\20260325_101125_timestamp.csv,1181,1208,1181,1209,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,566,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-014,边界差异,start_idx|start,D,run_19,001484412812,sample_000636,25,put,plier,start_idx|start,4953,4974,20260325_102254_907435,20260325_102255_609410,4949,4974,20260325_102254_762267,20260325_102255_609410,-4,0,-145.168,0,22,26,22,是,否,是,是,是,是,4953,0,4974,0,4949,0,4974,0,20260325_102254_907435,20260325_102255_609410,20260325_102254_762267,20260325_102255_609410,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_19\run_19_annotations.csv,26,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_19\run_19_segmentation_annotation.csv,50,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_19\001484412812\20260325_102004_timestamp.csv,4954,4975,4950,4975,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,636,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-015,边界差异,start_idx|start,D,run_20,001484412812,sample_000650,14,put,plier,start_idx|start,1495,1513,20260325_102427_492354,20260325_102428_101871,1492,1513,20260325_102427_362199,20260325_102428_101871,-3,0,-130.155,0,19,22,19,是,否,否,否,是,否,1496,1,1514,1,1492,0,1514,1,20260325_102427_455942,20260325_102428_048413,20260325_102427_362199,20260325_102428_048413,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_20\run_20_annotations.csv,15,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_20\run_20_segmentation_annotation.csv,28,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_20\001484412812\20260325_102332_timestamp.csv,1496,1514,1493,1514,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,650,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-016,边界差异,end_idx|end,D,run_22,001484412812,sample_000677,13,put,sample,end_idx|end,1363,1414,20260325_102731_589799,20260325_102733_298696,1363,1416,20260325_102731_589799,20260325_102733_333113,0,2,0,34.417,52,54,52,是,否,否,否,否,是,1364,1,1415,1,1364,1,1416,0,20260325_102731_557422,20260325_102733_270769,20260325_102731_557422,20260325_102733_333113,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_22\run_22_annotations.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_22\run_22_segmentation_annotation.csv,27,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_22\001484412812\20260325_102641_timestamp.csv,1364,1415,1364,1417,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,677,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-017,边界差异,start_idx|start,D,run_24,001484412812,sample_000702,14,put,plier,start_idx|start,1687,1711,20260325_103358_885694,20260325_103359_684491,1684,1711,20260325_103358_738314,20260325_103359_684491,-3,0,-147.38,0,25,28,25,是,否,否,否,是,否,1688,1,1712,1,1684,0,1712,1,20260325_103358_854272,20260325_103359_649582,20260325_103358_738314,20260325_103359_649582,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_24\run_24_annotations.csv,15,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_24\run_24_segmentation_annotation.csv,28,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_24\001484412812\20260325_103257_timestamp.csv,1688,1712,1685,1712,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,702,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-018,边界差异,end_idx|end,D,run_25,001484412812,sample_000715,13,put,sample,end_idx|end,1559,1605,20260325_103537_857438,20260325_103539_391246,1559,1607,20260325_103537_857438,20260325_103539_457093,0,2,0,65.847,47,49,47,是,否,是,是,是,是,1559,0,1605,0,1559,0,1607,0,20260325_103537_857438,20260325_103539_391246,20260325_103537_857438,20260325_103539_457093,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_25\run_25_annotations.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_25\run_25_segmentation_annotation.csv,27,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_25\001484412812\20260325_103441_timestamp.csv,1560,1606,1560,1608,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,715,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-019,边界差异,start_idx|start,D,run_29,001484412812,sample_000785,13,put,plier,start_idx|start,1728,1742,20260325_104816_769623,20260325_104817_238563,1724,1742,20260325_104816_646290,20260325_104817_238563,-4,0,-123.333,0,15,19,15,是,否,是,是,是,是,1728,0,1742,0,1724,0,1742,0,20260325_104816_769623,20260325_104817_238563,20260325_104816_646290,20260325_104817_238563,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_29\run_29_annotations.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_29\run_29_segmentation_annotation.csv,26,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_29\001484412812\20260325_104714_timestamp.csv,1729,1743,1725,1743,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,785,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-020,边界差异,end_idx|end,D,run_31,001484412812,sample_000790,5,put,sample,end_idx|end,1054,1098,20260325_105154_781083,20260325_105156_244531,1054,1100,20260325_105154_781083,20260325_105156_317335,0,2,0,72.804,45,47,45,是,否,是,是,是,是,1054,0,1098,0,1054,0,1100,0,20260325_105154_781083,20260325_105156_244531,20260325_105154_781083,20260325_105156_317335,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_31\run_31_annotations.csv,6,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_31\run_31_segmentation_annotation.csv,11,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_31\001484412812\20260325_105114_timestamp.csv,1055,1099,1055,1101,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,790,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-021,边界差异,start_idx|start,D,run_32,001484412812,sample_000797,6,put,plier,start_idx|start,1227,1242,20260325_105339_158337,20260325_105339_657682,1224,1242,20260325_105339_055607,20260325_105339_657682,-3,0,-102.73,0,16,19,16,是,否,是,是,是,是,1227,0,1242,0,1224,0,1242,0,20260325_105339_158337,20260325_105339_657682,20260325_105339_055607,20260325_105339_657682,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_32\run_32_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_32\run_32_segmentation_annotation.csv,12,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_32\001484412812\20260325_105253_timestamp.csv,1228,1243,1225,1243,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,797,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-022,边界差异,end_idx|end,J,run_2,001484412812,sample_001081,6,grip,sample,end_idx|end,1340,1381,20260316_120055_263896,20260316_120056_622210,1340,1379,20260316_120055_263896,20260316_120056_525884,0,-2,0,-96.326,42,40,42,是,否,否,否,否,是,1341,1,1382,1,1341,1,1379,0,20260316_120055_229982,20260316_120056_587296,20260316_120055_229982,20260316_120056_525884,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_2\run_2_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_2\run_2_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_2\001484412812\20260316_120005_timestamp.csv,1341,1382,1341,1380,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1081,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-023,边界差异,end_idx|end,J,run_4,001484412812,sample_001378,6,grip,sample,end_idx|end,1393,1434,20260316_120521_588531,20260316_120522_966972,1393,1437,20260316_120521_588531,20260316_120523_031073,0,3,0,64.101,42,45,42,是,否,否,否,否,是,1394,1,1435,1,1394,1,1437,0,20260316_120521_559608,20260316_120522_937047,20260316_120521_559608,20260316_120523_031073,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_4\run_4_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_4\run_4_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_4\001484412812\20260316_120430_timestamp.csv,1394,1435,1394,1438,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1378,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-024,边界差异,end_idx|end,J,run_6,001484412812,sample_001402,6,grip,sample,end_idx|end,1090,1123,20260316_121336_062473,20260316_121337_167162,1090,1121,20260316_121336_062473,20260316_121337_104334,0,-2,0,-62.828,34,32,34,是,否,是,是,是,是,1090,0,1123,0,1090,0,1121,0,20260316_121336_062473,20260316_121337_167162,20260316_121336_062473,20260316_121337_104334,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_6\run_6_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_6\run_6_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_6\001484412812\20260316_121254_timestamp.csv,1091,1124,1091,1122,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1402,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-025,边界差异,end_idx|end,J,run_7,001484412812,sample_001416,6,grip,sample,end_idx|end,1149,1190,20260316_121541_267220,20260316_121542_642469,1149,1191,20260316_121541_267220,20260316_121542_676655,0,1,0,34.186,42,43,42,是,否,是,是,是,是,1149,0,1190,0,1149,0,1191,0,20260316_121541_267220,20260316_121542_642469,20260316_121541_267220,20260316_121542_676655,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_7\run_7_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_7\run_7_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_7\001484412812\20260316_121458_timestamp.csv,1150,1191,1150,1192,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1416,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-026,边界差异,end_idx|end,J,run_8,001484412812,sample_001430,6,grip,sample,end_idx|end,1120,1153,20260316_121754_242510,20260316_121755_332049,1120,1154,20260316_121754_242510,20260316_121755_362967,0,1,0,30.918,34,35,34,是,否,是,是,是,是,1120,0,1153,0,1120,0,1154,0,20260316_121754_242510,20260316_121755_332049,20260316_121754_242510,20260316_121755_362967,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_8\run_8_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_8\run_8_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_8\001484412812\20260316_121712_timestamp.csv,1121,1154,1121,1155,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1430,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-027,边界差异,start_idx|start,J,run_15,001484412812,sample_000991,7,reverse,sample,start_idx|start,1204,1240,20260316_124434_439097,20260316_124435_641185,1201,1240,20260316_124434_329216,20260316_124435_641185,-3,0,-109.881,0,37,40,37,是,否,是,是,是,是,1204,0,1240,0,1201,0,1240,0,20260316_124434_439097,20260316_124435_641185,20260316_124434_329216,20260316_124435_641185,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_15\run_15_annotations.csv,8,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_15\run_15_segmentation_annotation.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_15\001484412812\20260316_124349_timestamp.csv,1205,1241,1202,1241,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,991,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-028,边界差异,end_idx|end,J,run_17,001484412812,sample_001039,17,grip,sample,end_idx|end,4273,4308,20260316_125625_282440,20260316_125626_455840,4273,4311,20260316_125625_282440,20260316_125626_550261,0,3,0,94.421,36,39,36,是,否,是,是,是,是,4273,0,4308,0,4273,0,4311,0,20260316_125625_282440,20260316_125626_455840,20260316_125625_282440,20260316_125626_550261,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_17\run_17_annotations.csv,18,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_17\run_17_segmentation_annotation.csv,35,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_17\001484412812\20260316_125357_timestamp.csv,4274,4309,4274,4312,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1039,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-029,边界差异,end_idx|end,J,run_19,001484412812,sample_001067,6,grip,sample,end_idx|end,1209,1237,20260316_130112_095667,20260316_130113_113968,1209,1238,20260316_130112_095667,20260316_130113_147409,0,1,0,33.441,29,30,29,是,否,是,是,是,是,1209,0,1237,0,1209,0,1238,0,20260316_130112_095667,20260316_130113_113968,20260316_130112_095667,20260316_130113_147409,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_19\run_19_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_19\run_19_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_19\001484412812\20260316_130026_timestamp.csv,1210,1238,1210,1239,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1067,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
