condition,participant,seed,label_space,true_id,sample_name,predicted_id,stage_id,run
S1,A,1,node,26,sample_000047,13,3,run_11
S1,A,1,node,27,sample_000048,9,3,run_11
S1,A,1,node,1,sample_000051,9,1,run_12
S1,A,1,node,4,sample_000053,16,1,run_12
S1,A,1,node,8,sample_000054,2,1,run_12
S1,A,1,node,7,sample_000055,3,1,run_12
S1,A,1,node,9,sample_000059,10,1,run_12
S1,A,1,node,5,sample_000060,23,1,run_12
S1,A,1,node,12,sample_000061,18,2,run_12
S1,A,1,node,14,sample_000063,13,2,run_12
S1,A,1,node,15,sample_000064,1,2,run_12
S1,A,1,node,16,sample_000065,2,2,run_12
S1,A,1,node,20,sample_000069,10,2,run_12
S1,A,1,node,21,sample_000070,27,2,run_12
S1,A,1,node,22,sample_000071,10,2,run_12
S1,A,1,node,23,sample_000072,10,2,run_12
S1,A,1,node,24,sample_000073,25,2,run_12
S1,A,1,node,14,sample_000077,10,2,run_13
S1,A,1,node,15,sample_000078,10,2,run_13
S1,A,1,node,16,sample_000079,2,2,run_13
S1,A,1,node,17,sample_000080,10,2,run_13
S1,A,1,node,18,sample_000081,28,2,run_13
S1,A,1,node,20,sample_000083,10,2,run_13
S1,A,1,node,21,sample_000084,18,2,run_13
S1,A,1,node,22,sample_000085,10,2,run_13
S1,A,1,node,23,sample_000086,10,2,run_13
S1,A,1,node,24,sample_000087,31,2,run_13
S1,A,1,node,12,sample_000089,2,2,run_14
S1,A,1,node,13,sample_000090,25,2,run_14
S1,A,1,node,14,sample_000091,2,2,run_14
S1,A,1,node,15,sample_000092,23,2,run_14
S1,A,1,node,16,sample_000093,5,2,run_14
S1,A,1,node,20,sample_000097,10,2,run_14
S1,A,1,node,21,sample_000098,34,2,run_14
S1,A,1,node,22,sample_000099,10,2,run_14
S1,A,1,node,23,sample_000100,35,2,run_14
S1,A,1,node,24,sample_000101,2,2,run_14
S1,A,1,node,12,sample_000103,2,2,run_15
S1,A,1,node,14,sample_000105,12,2,run_15
S1,A,1,node,15,sample_000106,5,2,run_15
S1,A,1,node,16,sample_000107,2,2,run_15
S1,A,1,node,17,sample_000108,10,2,run_15
S1,A,1,node,18,sample_000109,19,2,run_15
S1,A,1,node,20,sample_000111,10,2,run_15
S1,A,1,node,21,sample_000112,34,2,run_15
S1,A,1,node,22,sample_000113,23,2,run_15
S1,A,1,node,23,sample_000114,1,2,run_15
S1,A,1,node,24,sample_000115,3,2,run_15
S1,A,1,node,32,sample_000117,10,3,run_15
S1,A,1,node,30,sample_000118,33,3,run_15
S1,A,1,node,28,sample_000119,8,3,run_15
S1,A,1,node,29,sample_000120,25,3,run_15
S1,A,1,node,34,sample_000122,18,3,run_15
S1,A,1,node,35,sample_000123,9,3,run_15
S1,A,1,node,26,sample_000124,10,3,run_15
S1,A,1,node,27,sample_000125,13,3,run_15
S1,A,1,node,10,sample_000128,6,1,run_16
S1,A,1,node,1,sample_000130,9,1,run_16
S1,A,1,node,2,sample_000131,34,1,run_16
S1,A,1,node,4,sample_000132,6,1,run_16
S1,A,1,node,8,sample_000134,3,1,run_16
S1,A,1,node,7,sample_000135,3,1,run_16
S1,A,1,node,9,sample_000136,10,1,run_16
S1,A,1,node,5,sample_000137,23,1,run_16
S1,A,1,node,12,sample_000138,6,2,run_16
S1,A,1,node,13,sample_000139,25,2,run_16
S1,A,1,node,14,sample_000140,10,2,run_16
S1,A,1,node,15,sample_000141,10,2,run_16
S1,A,1,node,16,sample_000142,2,2,run_16
S1,A,1,node,17,sample_000143,26,2,run_16
S1,A,1,node,18,sample_000144,28,2,run_16
S1,A,1,node,20,sample_000146,10,2,run_16
S1,A,1,node,21,sample_000147,10,2,run_16
S1,A,1,node,22,sample_000148,10,2,run_16
S1,A,1,node,24,sample_000150,3,2,run_16
S1,A,1,node,12,sample_000152,2,2,run_17
S1,A,1,node,13,sample_000153,25,2,run_17
S1,A,1,node,14,sample_000154,10,2,run_17
S1,A,1,node,16,sample_000156,2,2,run_17
S1,A,1,node,18,sample_000158,10,2,run_17
S1,A,1,node,20,sample_000160,10,2,run_17
S1,A,1,node,21,sample_000161,18,2,run_17
S1,A,1,node,22,sample_000162,10,2,run_17
S1,A,1,node,23,sample_000163,10,2,run_17
S1,A,1,node,24,sample_000164,28,2,run_17
S1,A,1,node,13,sample_000167,10,2,run_19
S1,A,1,node,14,sample_000168,18,2,run_19
S1,A,1,node,15,sample_000169,10,2,run_19
S1,A,1,node,16,sample_000170,2,2,run_19
S1,A,1,node,21,sample_000175,32,2,run_19
S1,A,1,node,22,sample_000176,1,2,run_19
S1,A,1,node,23,sample_000177,27,2,run_19
S1,A,1,node,24,sample_000178,3,2,run_19
S1,A,1,node,26,sample_000181,25,3,run_19
S1,A,1,node,27,sample_000182,13,3,run_19
S1,A,1,node,32,sample_000183,31,3,run_19
S1,A,1,node,30,sample_000184,33,3,run_19
S1,A,1,node,28,sample_000185,8,3,run_19
S1,A,1,node,29,sample_000186,34,3,run_19
S1,A,1,node,34,sample_000188,12,3,run_19
S1,A,1,node,35,sample_000189,9,3,run_19
S1,A,1,node,12,sample_000190,2,2,run_2
S1,A,1,node,13,sample_000191,18,2,run_2
S1,A,1,node,14,sample_000192,10,2,run_2
S1,A,1,node,15,sample_000193,10,2,run_2
S1,A,1,node,16,sample_000194,2,2,run_2
S1,A,1,node,20,sample_000198,10,2,run_2
S1,A,1,node,21,sample_000199,10,2,run_2
S1,A,1,node,22,sample_000200,10,2,run_2
S1,A,1,node,23,sample_000201,10,2,run_2
S1,A,1,node,24,sample_000202,16,2,run_2
S1,A,1,node,1,sample_000204,9,1,run_20
S1,A,1,node,2,sample_000205,25,1,run_20
S1,A,1,node,7,sample_000207,2,1,run_20
S1,A,1,node,8,sample_000208,3,1,run_20
S1,A,1,node,6,sample_000209,3,1,run_20
S1,A,1,node,4,sample_000210,3,1,run_20
S1,A,1,node,9,sample_000211,31,1,run_20
S1,A,1,node,5,sample_000214,10,1,run_20
S1,A,1,node,12,sample_000215,20,2,run_20
S1,A,1,node,13,sample_000216,10,2,run_20
S1,A,1,node,14,sample_000217,12,2,run_20
S1,A,1,node,15,sample_000218,23,2,run_20
S1,A,1,node,16,sample_000219,2,2,run_20
S1,A,1,node,17,sample_000220,26,2,run_20
S1,A,1,node,20,sample_000223,12,2,run_20
S1,A,1,node,21,sample_000224,12,2,run_20
S1,A,1,node,22,sample_000225,23,2,run_20
S1,A,1,node,24,sample_000226,3,2,run_20
S1,A,1,node,12,sample_000228,6,2,run_21
S1,A,1,node,13,sample_000229,18,2,run_21
S1,A,1,node,14,sample_000230,10,2,run_21
S1,A,1,node,15,sample_000231,10,2,run_21
S1,A,1,node,24,sample_000232,28,2,run_21
S1,A,1,node,14,sample_000236,10,2,run_22
S1,A,1,node,15,sample_000237,10,2,run_22
S1,A,1,node,24,sample_000238,2,2,run_22
S1,A,1,node,12,sample_000240,2,2,run_23
S1,A,1,node,13,sample_000241,12,2,run_23
S1,A,1,node,14,sample_000242,12,2,run_23
S1,A,1,node,15,sample_000243,23,2,run_23
S1,A,1,node,16,sample_000244,2,2,run_23
S1,A,1,node,20,sample_000248,10,2,run_23
S1,A,1,node,21,sample_000249,34,2,run_23
S1,A,1,node,22,sample_000250,10,2,run_23
S1,A,1,node,16,sample_000251,2,2,run_23
S1,A,1,node,17,sample_000252,20,2,run_23
S1,A,1,node,19,sample_000254,25,2,run_23
S1,A,1,node,21,sample_000256,20,2,run_23
S1,A,1,node,22,sample_000257,1,2,run_23
S1,A,1,node,24,sample_000259,28,2,run_23
S1,A,1,node,12,sample_000261,2,2,run_24
S1,A,1,node,13,sample_000262,18,2,run_24
S1,A,1,node,14,sample_000263,10,2,run_24
S1,A,1,node,15,sample_000264,10,2,run_24
S1,A,1,node,24,sample_000265,28,2,run_24
S1,A,1,node,29,sample_000267,25,3,run_24
S1,A,1,node,28,sample_000268,3,3,run_24
S1,A,1,node,30,sample_000269,25,3,run_24
S1,A,1,node,32,sample_000270,25,3,run_24
S1,A,1,node,26,sample_000271,25,3,run_24
S1,A,1,node,27,sample_000272,16,3,run_24
S1,A,1,node,1,sample_000274,9,1,run_25
S1,A,1,node,2,sample_000275,7,1,run_25
S1,A,1,node,3,sample_000276,5,1,run_25
S1,A,1,node,7,sample_000277,3,1,run_25
S1,A,1,node,8,sample_000278,31,1,run_25
S1,A,1,node,6,sample_000279,25,1,run_25
S1,A,1,node,4,sample_000280,3,1,run_25
S1,A,1,node,9,sample_000281,32,1,run_25
S1,A,1,node,5,sample_000284,23,1,run_25
S1,A,1,node,12,sample_000285,25,2,run_25
S1,A,1,node,14,sample_000287,26,2,run_25
S1,A,1,node,15,sample_000288,23,2,run_25
S1,A,1,node,16,sample_000289,5,2,run_25
S1,A,1,node,17,sample_000290,10,2,run_25
S1,A,1,node,19,sample_000292,3,2,run_25
S1,A,1,node,20,sample_000293,28,2,run_25
S1,A,1,node,21,sample_000294,28,2,run_25
S1,A,1,node,22,sample_000295,10,2,run_25
S1,A,1,node,24,sample_000296,25,2,run_25
S1,A,1,node,12,sample_000298,2,2,run_26
S1,A,1,node,13,sample_000299,2,2,run_26
S1,A,1,node,14,sample_000300,25,2,run_26
S1,A,1,node,15,sample_000301,27,2,run_26
S1,A,1,node,16,sample_000302,2,2,run_26
S1,A,1,node,18,sample_000304,10,2,run_26
S1,A,1,node,21,sample_000307,12,2,run_26
S1,A,1,node,22,sample_000308,23,2,run_26
S1,A,1,node,24,sample_000309,3,2,run_26
S1,A,1,node,12,sample_000311,2,2,run_27
S1,A,1,node,13,sample_000312,10,2,run_27
S1,A,1,node,14,sample_000313,18,2,run_27
S1,A,1,node,15,sample_000314,10,2,run_27
S1,A,1,node,24,sample_000315,2,2,run_27
S1,A,1,node,12,sample_000317,25,2,run_28
S1,A,1,node,13,sample_000318,18,2,run_28
S1,A,1,node,14,sample_000319,10,2,run_28
S1,A,1,node,15,sample_000320,10,2,run_28
S1,A,1,node,16,sample_000321,2,2,run_28
S1,A,1,node,20,sample_000325,13,2,run_28
S1,A,1,node,21,sample_000326,12,2,run_28
S1,A,1,node,22,sample_000327,10,2,run_28
S1,A,1,node,23,sample_000328,1,2,run_28
S1,A,1,node,24,sample_000329,3,2,run_28
S1,A,1,node,32,sample_000331,6,3,run_28
S1,A,1,node,34,sample_000332,10,3,run_28
S1,A,1,node,35,sample_000333,9,3,run_28
S1,A,1,node,27,sample_000335,9,3,run_28
S1,A,1,node,30,sample_000336,3,3,run_28
S1,A,1,node,28,sample_000337,3,3,run_28
S1,A,1,node,29,sample_000338,3,3,run_28
S1,A,1,node,12,sample_000341,16,2,run_5
S1,A,1,node,13,sample_000342,10,2,run_5
S1,A,1,node,14,sample_000343,10,2,run_5
S1,A,1,node,15,sample_000344,35,2,run_5
S1,A,1,node,16,sample_000345,25,2,run_5
S1,A,1,node,17,sample_000346,10,2,run_5
S1,A,1,node,18,sample_000347,19,2,run_5
S1,A,1,node,20,sample_000349,18,2,run_5
S1,A,1,node,21,sample_000350,18,2,run_5
S1,A,1,node,22,sample_000351,10,2,run_5
S1,A,1,node,23,sample_000352,10,2,run_5
S1,A,1,node,24,sample_000353,25,2,run_5
S1,A,1,node,13,sample_000356,10,2,run_6
S1,A,1,node,14,sample_000357,17,2,run_6
S1,A,1,node,15,sample_000358,5,2,run_6
S1,A,1,node,16,sample_000359,25,2,run_6
S1,A,1,node,17,sample_000360,10,2,run_6
S1,A,1,node,18,sample_000361,19,2,run_6
S1,A,1,node,20,sample_000363,10,2,run_6
S1,A,1,node,21,sample_000364,12,2,run_6
S1,A,1,node,22,sample_000365,10,2,run_6
S1,A,1,node,23,sample_000366,10,2,run_6
S1,A,1,node,24,sample_000367,15,2,run_6
S1,A,1,node,28,sample_000370,25,3,run_6
S1,A,1,node,30,sample_000371,3,3,run_6
S1,A,1,node,29,sample_000372,25,3,run_6
S1,A,1,node,34,sample_000374,2,3,run_6
S1,A,1,node,35,sample_000375,10,3,run_6
S1,A,1,node,26,sample_000376,13,3,run_6
S1,A,1,node,2,sample_000380,25,1,run_7
S1,A,1,node,3,sample_000381,18,1,run_7
S1,A,1,node,4,sample_000382,3,1,run_7
S1,A,1,node,8,sample_000383,3,1,run_7
S1,A,1,node,7,sample_000384,31,1,run_7
S1,A,1,node,6,sample_000385,3,1,run_7
S1,A,1,node,10,sample_000386,20,1,run_7
S1,A,1,node,11,sample_000387,5,1,run_7
S1,A,1,node,9,sample_000388,32,1,run_7
S1,A,1,node,5,sample_000389,20,1,run_7
S1,A,1,node,12,sample_000390,2,2,run_7
S1,A,1,node,14,sample_000392,22,2,run_7
S1,A,1,node,16,sample_000394,2,2,run_7
S1,A,1,node,18,sample_000396,10,2,run_7
S1,A,1,node,20,sample_000398,10,2,run_7
S1,A,1,node,21,sample_000399,25,2,run_7
S1,A,1,node,22,sample_000400,35,2,run_7
S1,A,1,node,24,sample_000402,2,2,run_7
S1,A,1,node,13,sample_000405,18,2,run_8
S1,A,1,node,14,sample_000406,10,2,run_8
S1,A,1,node,15,sample_000407,10,2,run_8
S1,A,1,node,16,sample_000408,5,2,run_8
S1,A,1,node,18,sample_000410,28,2,run_8
S1,A,1,node,20,sample_000412,18,2,run_8
S1,A,1,node,21,sample_000413,10,2,run_8
S1,A,1,node,22,sample_000414,10,2,run_8
S1,A,1,node,23,sample_000415,10,2,run_8
S1,A,1,node,24,sample_000416,3,2,run_8
S1,A,1,node,13,sample_000419,18,2,run_9
S1,A,1,node,14,sample_000420,10,2,run_9
S1,A,1,node,15,sample_000421,10,2,run_9
S1,A,1,node,16,sample_000422,2,2,run_9
S1,A,1,node,18,sample_000424,10,2,run_9
S1,A,1,node,19,sample_000425,31,2,run_9
S1,A,1,node,20,sample_000426,10,2,run_9
S1,A,1,node,21,sample_000427,10,2,run_9
S1,A,1,node,22,sample_000428,10,2,run_9
S1,A,1,node,23,sample_000429,10,2,run_9
S1,A,1,node,24,sample_000430,3,2,run_9
S1,A,1,tier3,29,sample_000002,23,1,run_1
S1,A,1,tier3,25,sample_000003,13,1,run_1
S1,A,1,tier3,27,sample_000004,23,1,run_1
S1,A,1,tier3,30,sample_000005,15,1,run_1
S1,A,1,tier3,26,sample_000007,21,1,run_1
S1,A,1,tier3,12,sample_000009,25,1,run_1
S1,A,1,tier3,6,sample_000010,28,1,run_1
S1,A,1,tier3,0,sample_000011,3,1,run_1
S1,A,1,tier3,18,sample_000012,9,2,run_1
S1,A,1,tier3,2,sample_000013,16,2,run_1
S1,A,1,tier3,7,sample_000014,15,2,run_1
S1,A,1,tier3,8,sample_000015,15,2,run_1
S1,A,1,tier3,13,sample_000016,9,2,run_1
S1,A,1,tier3,1,sample_000017,23,2,run_1
S1,A,1,tier3,16,sample_000018,13,2,run_1
S1,A,1,tier3,13,sample_000019,27,2,run_1
S1,A,1,tier3,1,sample_000020,15,2,run_1
S1,A,1,tier3,7,sample_000021,8,2,run_1
S1,A,1,tier3,8,sample_000022,3,2,run_1
S1,A,1,tier3,3,sample_000023,15,2,run_1
S1,A,1,tier3,14,sample_000024,28,2,run_1
S1,A,1,tier3,18,sample_000026,0,2,run_11
S1,A,1,tier3,2,sample_000027,16,2,run_11
S1,A,1,tier3,7,sample_000028,15,2,run_11
S1,A,1,tier3,8,sample_000029,15,2,run_11
S1,A,1,tier3,13,sample_000030,9,2,run_11
S1,A,1,tier3,1,sample_000031,16,2,run_11
S1,A,1,tier3,16,sample_000032,1,2,run_11
S1,A,1,tier3,13,sample_000033,20,2,run_11
S1,A,1,tier3,1,sample_000034,15,2,run_11
S1,A,1,tier3,7,sample_000035,15,2,run_11
S1,A,1,tier3,8,sample_000036,15,2,run_11
S1,A,1,tier3,14,sample_000038,9,2,run_11
S1,A,1,tier3,20,sample_000041,28,3,run_11
S1,A,1,tier3,22,sample_000042,10,3,run_11
S1,A,1,tier3,24,sample_000043,10,3,run_11
S1,A,1,tier3,17,sample_000045,9,3,run_11
S1,A,1,tier3,4,sample_000046,6,3,run_11
S1,A,1,tier3,19,sample_000047,2,3,run_11
S1,A,1,tier3,11,sample_000048,6,3,run_11
S1,A,1,tier3,30,sample_000051,6,1,run_12
S1,A,1,tier3,26,sample_000053,13,1,run_12
S1,A,1,tier3,27,sample_000054,9,1,run_12
S1,A,1,tier3,29,sample_000055,28,1,run_12
S1,A,1,tier3,6,sample_000059,15,1,run_12
S1,A,1,tier3,0,sample_000060,3,1,run_12
S1,A,1,tier3,18,sample_000061,16,2,run_12
S1,A,1,tier3,7,sample_000063,2,2,run_12
S1,A,1,tier3,8,sample_000064,30,2,run_12
S1,A,1,tier3,13,sample_000065,9,2,run_12
S1,A,1,tier3,1,sample_000069,15,2,run_12
S1,A,1,tier3,7,sample_000070,11,2,run_12
S1,A,1,tier3,8,sample_000071,15,2,run_12
S1,A,1,tier3,3,sample_000072,15,2,run_12
S1,A,1,tier3,14,sample_000073,10,2,run_12
S1,A,1,tier3,7,sample_000077,15,2,run_13
S1,A,1,tier3,8,sample_000078,15,2,run_13
S1,A,1,tier3,13,sample_000079,9,2,run_13
S1,A,1,tier3,1,sample_000080,15,2,run_13
S1,A,1,tier3,16,sample_000081,22,2,run_13
S1,A,1,tier3,1,sample_000083,15,2,run_13
S1,A,1,tier3,7,sample_000084,16,2,run_13
S1,A,1,tier3,8,sample_000085,15,2,run_13
S1,A,1,tier3,3,sample_000086,15,2,run_13
S1,A,1,tier3,14,sample_000087,5,2,run_13
S1,A,1,tier3,18,sample_000089,9,2,run_14
S1,A,1,tier3,2,sample_000090,10,2,run_14
S1,A,1,tier3,7,sample_000091,9,2,run_14
S1,A,1,tier3,8,sample_000092,3,2,run_14
S1,A,1,tier3,13,sample_000093,0,2,run_14
S1,A,1,tier3,1,sample_000097,15,2,run_14
S1,A,1,tier3,7,sample_000098,17,2,run_14
S1,A,1,tier3,8,sample_000099,15,2,run_14
S1,A,1,tier3,3,sample_000100,4,2,run_14
S1,A,1,tier3,14,sample_000101,9,2,run_14
S1,A,1,tier3,18,sample_000103,9,2,run_15
S1,A,1,tier3,7,sample_000105,18,2,run_15
S1,A,1,tier3,8,sample_000106,0,2,run_15
S1,A,1,tier3,13,sample_000107,9,2,run_15
S1,A,1,tier3,1,sample_000108,15,2,run_15
S1,A,1,tier3,16,sample_000109,13,2,run_15
S1,A,1,tier3,1,sample_000111,15,2,run_15
S1,A,1,tier3,7,sample_000112,17,2,run_15
S1,A,1,tier3,8,sample_000113,3,2,run_15
S1,A,1,tier3,3,sample_000114,30,2,run_15
S1,A,1,tier3,14,sample_000115,28,2,run_15
S1,A,1,tier3,21,sample_000117,15,3,run_15
S1,A,1,tier3,20,sample_000118,23,3,run_15
S1,A,1,tier3,22,sample_000119,27,3,run_15
S1,A,1,tier3,24,sample_000120,10,3,run_15
S1,A,1,tier3,17,sample_000122,16,3,run_15
S1,A,1,tier3,4,sample_000123,6,3,run_15
S1,A,1,tier3,19,sample_000124,15,3,run_15
S1,A,1,tier3,11,sample_000125,2,3,run_15
S1,A,1,tier3,15,sample_000128,25,1,run_16
S1,A,1,tier3,30,sample_000130,6,1,run_16
S1,A,1,tier3,9,sample_000131,17,1,run_16
S1,A,1,tier3,26,sample_000132,25,1,run_16
S1,A,1,tier3,27,sample_000134,28,1,run_16
S1,A,1,tier3,29,sample_000135,28,1,run_16
S1,A,1,tier3,6,sample_000136,15,1,run_16
S1,A,1,tier3,0,sample_000137,3,1,run_16
S1,A,1,tier3,18,sample_000138,25,2,run_16
S1,A,1,tier3,2,sample_000139,10,2,run_16
S1,A,1,tier3,7,sample_000140,15,2,run_16
S1,A,1,tier3,8,sample_000141,15,2,run_16
S1,A,1,tier3,13,sample_000142,9,2,run_16
S1,A,1,tier3,1,sample_000143,19,2,run_16
S1,A,1,tier3,16,sample_000144,22,2,run_16
S1,A,1,tier3,1,sample_000146,15,2,run_16
S1,A,1,tier3,7,sample_000147,15,2,run_16
S1,A,1,tier3,8,sample_000148,15,2,run_16
S1,A,1,tier3,14,sample_000150,28,2,run_16
S1,A,1,tier3,18,sample_000152,9,2,run_17
S1,A,1,tier3,2,sample_000153,10,2,run_17
S1,A,1,tier3,7,sample_000154,15,2,run_17
S1,A,1,tier3,13,sample_000156,9,2,run_17
S1,A,1,tier3,16,sample_000158,15,2,run_17
S1,A,1,tier3,1,sample_000160,15,2,run_17
S1,A,1,tier3,7,sample_000161,16,2,run_17
S1,A,1,tier3,8,sample_000162,15,2,run_17
S1,A,1,tier3,3,sample_000163,15,2,run_17
S1,A,1,tier3,14,sample_000164,22,2,run_17
S1,A,1,tier3,2,sample_000167,15,2,run_19
S1,A,1,tier3,7,sample_000168,16,2,run_19
S1,A,1,tier3,8,sample_000169,15,2,run_19
S1,A,1,tier3,13,sample_000170,9,2,run_19
S1,A,1,tier3,7,sample_000175,21,2,run_19
S1,A,1,tier3,8,sample_000176,30,2,run_19
S1,A,1,tier3,3,sample_000177,11,2,run_19
S1,A,1,tier3,14,sample_000178,28,2,run_19
S1,A,1,tier3,19,sample_000181,10,3,run_19
S1,A,1,tier3,11,sample_000182,2,3,run_19
S1,A,1,tier3,21,sample_000183,5,3,run_19
S1,A,1,tier3,20,sample_000184,23,3,run_19
S1,A,1,tier3,22,sample_000185,27,3,run_19
S1,A,1,tier3,24,sample_000186,17,3,run_19
S1,A,1,tier3,17,sample_000188,18,3,run_19
S1,A,1,tier3,4,sample_000189,6,3,run_19
S1,A,1,tier3,18,sample_000190,9,2,run_2
S1,A,1,tier3,2,sample_000191,16,2,run_2
S1,A,1,tier3,7,sample_000192,15,2,run_2
S1,A,1,tier3,8,sample_000193,15,2,run_2
S1,A,1,tier3,13,sample_000194,9,2,run_2
S1,A,1,tier3,1,sample_000198,15,2,run_2
S1,A,1,tier3,7,sample_000199,15,2,run_2
S1,A,1,tier3,8,sample_000200,15,2,run_2
S1,A,1,tier3,3,sample_000201,15,2,run_2
S1,A,1,tier3,14,sample_000202,13,2,run_2
S1,A,1,tier3,30,sample_000204,6,1,run_20
S1,A,1,tier3,9,sample_000205,10,1,run_20
S1,A,1,tier3,29,sample_000207,9,1,run_20
S1,A,1,tier3,27,sample_000208,28,1,run_20
S1,A,1,tier3,25,sample_000209,28,1,run_20
S1,A,1,tier3,26,sample_000210,28,1,run_20
S1,A,1,tier3,6,sample_000211,5,1,run_20
S1,A,1,tier3,0,sample_000214,15,1,run_20
S1,A,1,tier3,18,sample_000215,1,2,run_20
S1,A,1,tier3,2,sample_000216,15,2,run_20
S1,A,1,tier3,7,sample_000217,18,2,run_20
S1,A,1,tier3,8,sample_000218,3,2,run_20
S1,A,1,tier3,13,sample_000219,9,2,run_20
S1,A,1,tier3,1,sample_000220,19,2,run_20
S1,A,1,tier3,1,sample_000223,18,2,run_20
S1,A,1,tier3,7,sample_000224,18,2,run_20
S1,A,1,tier3,8,sample_000225,3,2,run_20
S1,A,1,tier3,14,sample_000226,28,2,run_20
S1,A,1,tier3,18,sample_000228,25,2,run_21
S1,A,1,tier3,2,sample_000229,16,2,run_21
S1,A,1,tier3,7,sample_000230,15,2,run_21
S1,A,1,tier3,8,sample_000231,15,2,run_21
S1,A,1,tier3,14,sample_000232,22,2,run_21
S1,A,1,tier3,7,sample_000236,15,2,run_22
S1,A,1,tier3,8,sample_000237,15,2,run_22
S1,A,1,tier3,14,sample_000238,9,2,run_22
S1,A,1,tier3,18,sample_000240,9,2,run_23
S1,A,1,tier3,2,sample_000241,18,2,run_23
S1,A,1,tier3,7,sample_000242,18,2,run_23
S1,A,1,tier3,8,sample_000243,3,2,run_23
S1,A,1,tier3,13,sample_000244,9,2,run_23
S1,A,1,tier3,1,sample_000248,15,2,run_23
S1,A,1,tier3,7,sample_000249,17,2,run_23
S1,A,1,tier3,8,sample_000250,15,2,run_23
S1,A,1,tier3,13,sample_000251,9,2,run_23
S1,A,1,tier3,13,sample_000254,10,2,run_23
S1,A,1,tier3,7,sample_000256,1,2,run_23
S1,A,1,tier3,8,sample_000257,30,2,run_23
S1,A,1,tier3,14,sample_000259,22,2,run_23
S1,A,1,tier3,18,sample_000261,9,2,run_24
S1,A,1,tier3,2,sample_000262,16,2,run_24
S1,A,1,tier3,7,sample_000263,15,2,run_24
S1,A,1,tier3,8,sample_000264,15,2,run_24
S1,A,1,tier3,14,sample_000265,22,2,run_24
S1,A,1,tier3,24,sample_000267,10,3,run_24
S1,A,1,tier3,22,sample_000268,28,3,run_24
S1,A,1,tier3,20,sample_000269,10,3,run_24
S1,A,1,tier3,21,sample_000270,10,3,run_24
S1,A,1,tier3,19,sample_000271,10,3,run_24
S1,A,1,tier3,11,sample_000272,13,3,run_24
S1,A,1,tier3,30,sample_000274,6,1,run_25
S1,A,1,tier3,9,sample_000275,29,1,run_25
S1,A,1,tier3,28,sample_000276,0,1,run_25
S1,A,1,tier3,29,sample_000277,28,1,run_25
S1,A,1,tier3,27,sample_000278,5,1,run_25
S1,A,1,tier3,25,sample_000279,10,1,run_25
S1,A,1,tier3,26,sample_000280,28,1,run_25
S1,A,1,tier3,6,sample_000281,21,1,run_25
S1,A,1,tier3,0,sample_000284,3,1,run_25
S1,A,1,tier3,18,sample_000285,10,2,run_25
S1,A,1,tier3,7,sample_000287,19,2,run_25
S1,A,1,tier3,8,sample_000288,3,2,run_25
S1,A,1,tier3,13,sample_000289,0,2,run_25
S1,A,1,tier3,1,sample_000290,15,2,run_25
S1,A,1,tier3,13,sample_000292,28,2,run_25
S1,A,1,tier3,1,sample_000293,22,2,run_25
S1,A,1,tier3,7,sample_000294,22,2,run_25
S1,A,1,tier3,8,sample_000295,15,2,run_25
S1,A,1,tier3,14,sample_000296,10,2,run_25
S1,A,1,tier3,18,sample_000298,9,2,run_26
S1,A,1,tier3,2,sample_000299,9,2,run_26
S1,A,1,tier3,7,sample_000300,10,2,run_26
